s1, "what kind of preexisting relationship do you have with this person?"
s2, "what type of professional relationship is it?"
s3, "do you live in either New York or San Francisco?"
s4, "do whatever it takes"
s5, "probably better not"
s6, "is this just an attempt to got your kids back?"
s7, "are you crazy"
s8, "<2 rece jedna wskazuje na kolo>"
s9, "is there a restraining order involved?"
s10, "when are you gonna realize that I'am the only one who's ever gonna love you?!"
s11, "are you just trying to generate publicity and dispel certain rumors?"
s12, "not advised, but we'll allow it if you make a sex tape"
s13, "hi, robert pattinson"
s14, "is your health at any serious risk?"
s15, "does your job suck?"
s16, "<kosc>"
s17, "where do you teach?"
s18, "whoa. you're talking about having sex with a minor, right?"
s19, "thought-crime! our agents have sent to your location. resistance is useless"
s20, "are you related?"
s21, "what type of personal relationship is it?"
s22, "are you related by blood?"
s23, "who is it?"
s24, "how close is this relationship?"
s25, "absolutely not!!!"
s26, "are you really in love or just desperate?"
s27, "hang in there, pal. you'll meet someone else"
s28, "do, you live in a sparsely populated area? or the south?"
s29, "i guess it's ok, but you should probably keep it on the downlow"
s30, "make it happen, captain"
s31, "are the parents still married?"
s32, "are you Woody Allen?"
s33, "did you grow up together, like from childhood?"
s34, "you've missed the point of this chart. and you disgust me."
s35, "yes, for the love of god, someone please have sex with the dungeon master!"
s36, "do you really have a choice in the matter?"
s37, "well, it's pretty obvious, but go ahead and give it a shot"
s38, "are you done having sex with other people?"
s39, "do you like drama?"
s40, "awesome! leaving the house and putting on clothes are two of the worst parts of dating, so this is actually one of the better decisions you'll ever make! go for it!"
s41, "do you wanna get high?"
s42, "<sruba>"
s43, "are you crazy?"
s44, "you're a bad liar"
s45, "how lonely are you?"
s46, "what type of other relationship is it?"
s47, "like in that Demi Moore/Patrick Swayze movie?"
s48, "fuck that ghost"
s49, "would you have cated this person when among the living?"
s50, "how long since the stopped dating?"
s51, "are they still friends?"
s52, "how old are you again?"
s53, "do you want to be alone for the rest of your life"
s54, "it's for the best right now. game on!"
s55, "clear it with your friend first. bros before hos, right? or vice versa, as the case may be"
s56, "put down the controller and go take a shower. your genitals will thank you."
s57, "seriously?" like, you want to date an animal?"
s58, "ok, well, not 'date' per se but..."
s59, "are you a farmer?"
s60, "do you live in Japan?"
s61, "will you please move there to make the rest of us feel better?"
